2025-04-29 11:16:16 | DEBUG | urllib3.connectionpool:544 | https://sheets.googleapis.com:443 "GET /v4/spreadsheets/1DazUQxspLgT0utOFHcTINbFngXw7Fq0LOq6v4lRGixg?includeGridData=false HTTP/1.1" 200 None
2025-04-29 11:16:17 | DEBUG | urllib3.connectionpool:544 | https://sheets.googleapis.com:443 "GET /v4/spreadsheets/1DazUQxspLgT0utOFHcTINbFngXw7Fq0LOq6v4lRGixg?includeGridData=false HTTP/1.1" 200 None
2025-04-29 11:16:17 | DEBUG | urllib3.connectionpool:544 | https://sheets.googleapis.com:443 "GET /v4/spreadsheets/1DazUQxspLgT0utOFHcTINbFngXw7Fq0LOq6v4lRGixg/values/%27tiktokGeral%27%21A1%3A1 HTTP/1.1" 200 None
2025-04-29 11:16:17 | DEBUG | utils.substitute_origin_values:120 | [subst] nenhuma ocorrência em Content (utm)
2025-04-29 11:16:17 | DEBUG | utils.substitute_origin_values:120 | [subst] nenhuma ocorrência em Campaign name
2025-04-29 11:16:17 | DEBUG | utils.substitute_origin_values:120 | [subst] nenhuma ocorrência em Ad group name
2025-04-29 11:16:17 | DEBUG | utils.substitute_origin_values:120 | [subst] nenhuma ocorrência em Ad name
2025-04-29 11:16:17 | INFO  | utils.substitute_origin_values:161 | [subst] nenhuma célula a gravar – nada foi alterado
2025-04-29 11:16:17 | DEBUG | urllib3.util.retry:286 | Converted retries value: 3 -> Retry(total=3, connect=None, read=None, redirect=None, status=None)
2025-04-29 11:16:17 | DEBUG | google.auth.transport.requests:185 | Making request: POST https://oauth2.googleapis.com/token
2025-04-29 11:16:17 | DEBUG | urllib3.connectionpool:1049 | Starting new HTTPS connection (1): oauth2.googleapis.com:443
2025-04-29 11:16:17 | DEBUG | urllib3.connectionpool:544 | https://oauth2.googleapis.com:443 "POST /token HTTP/1.1" 200 None
2025-04-29 11:16:17 | DEBUG | urllib3.connectionpool:1049 | Starting new HTTPS connection (1): sheets.googleapis.com:443
2025-04-29 11:16:18 | DEBUG | urllib3.connectionpool:544 | https://sheets.googleapis.com:443 "GET /v4/spreadsheets/1DazUQxspLgT0utOFHcTINbFngXw7Fq0LOq6v4lRGixg?includeGridData=false HTTP/1.1" 200 None
2025-04-29 11:16:18 | DEBUG | urllib3.connectionpool:544 | https://sheets.googleapis.com:443 "GET /v4/spreadsheets/1DazUQxspLgT0utOFHcTINbFngXw7Fq0LOq6v4lRGixg?includeGridData=false HTTP/1.1" 200 None
2025-04-29 11:16:18 | DEBUG | urllib3.connectionpool:544 | https://sheets.googleapis.com:443 "GET /v4/spreadsheets/1DazUQxspLgT0utOFHcTINbFngXw7Fq0LOq6v4lRGixg/values/%27tiktokGeral%27%21A1%3A1 HTTP/1.1" 200 None
2025-04-29 11:16:18 | WARNING | utils.normalize:100 | [normalize_date_columns] 4740 valores inválidos em 'Date' (ex.: [''])
2025-04-29 11:16:18 | WARNING | utils.normalize:100 | [normalize_date_columns] 4743 valores inválidos em 'Start' (ex.: [''])
2025-04-29 11:16:18 | WARNING | utils.normalize:100 | [normalize_date_columns] 4743 valores inválidos em 'End' (ex.: [''])
2025-04-29 11:16:18 | INFO  | root:85 | Preenchendo datas Start/End faltantes a partir de BI_PARAMETRIZAÇÃO…
